tax_category,dependent_count,min_amount,max_amount,calculation_type,fixed_tax_amount,parameters,sort_order
ko,0,0,105000,fixed,0,,1
ko,0,105000,107000,fixed,170,,2
ko,0,107000,109000,fixed,280,,3
ko,0,109000,111000,fixed,380,,4
ko,0,111000,113000,fixed,480,,5
ko,0,113000,115000,fixed,580,,6
ko,0,115000,117000,fixed,680,,7
ko,0,117000,119000,fixed,790,,8
ko,0,119000,121000,fixed,890,,9
ko,0,121000,123000,fixed,990,,10
ko,0,123000,125000,fixed,1090,,11
ko,0,125000,127000,fixed,1190,,12
ko,0,127000,129000,fixed,1300,,13
ko,0,129000,131000,fixed,1400,,14
ko,0,131000,133000,fixed,1500,,15
ko,0,133000,135000,fixed,1600,,16
ko,0,135000,137000,fixed,1710,,17
ko,0,137000,139000,fixed,1810,,18
ko,0,139000,141000,fixed,1910,,19
ko,0,141000,143000,fixed,2010,,20
ko,0,143000,145000,fixed,2110,,21
ko,0,145000,147000,fixed,2220,,22
ko,0,147000,149000,fixed,2320,,23
ko,0,149000,151000,fixed,2420,,24
ko,0,151000,153000,fixed,2520,,25
ko,0,153000,155000,fixed,2620,,26
ko,0,155000,157000,fixed,2730,,27
ko,0,157000,159000,fixed,2830,,28
ko,0,159000,161000,fixed,2910,,29
ko,0,161000,163000,fixed,2980,,30
ko,0,163000,165000,fixed,3050,,31
ko,0,165000,167000,fixed,3120,,32
ko,0,167000,169000,fixed,3200,,33
ko,0,169000,171000,fixed,3270,,34
ko,0,171000,173000,fixed,3340,,35
ko,0,173000,175000,fixed,3410,,36
ko,0,175000,177000,fixed,3480,,37
ko,0,177000,179000,fixed,3550,,38
ko,0,179000,181000,fixed,3620,,39
ko,0,181000,183000,fixed,3700,,40
ko,0,183000,185000,fixed,3770,,41
ko,0,185000,187000,fixed,3840,,42
ko,0,187000,189000,fixed,3910,,43
ko,0,189000,191000,fixed,3980,,44
ko,0,191000,193000,fixed,4050,,45
ko,0,193000,195000,fixed,4120,,46
ko,0,195000,197000,fixed,4200,,47
ko,0,197000,199000,fixed,4270,,48
ko,0,199000,201000,fixed,4340,,49
ko,0,201000,203000,fixed,4410,,50
ko,0,203000,205000,fixed,4480,,51
ko,0,205000,207000,fixed,4550,,52
ko,0,207000,209000,fixed,4630,,53
ko,0,209000,211000,fixed,4700,,54
ko,0,211000,213000,fixed,4770,,55
ko,0,213000,215000,fixed,4840,,56
ko,0,215000,217000,fixed,4910,,57
ko,0,217000,219000,fixed,4980,,58
ko,0,219000,221000,fixed,5050,,59
ko,0,221000,224000,fixed,5150,,60
ko,0,224000,227000,fixed,5250,,61
ko,0,227000,230000,fixed,5360,,62
ko,0,230000,233000,fixed,5460,,63
ko,0,233000,236000,fixed,5570,,64
ko,0,236000,239000,fixed,5680,,65
ko,0,239000,242000,fixed,5790,,66
ko,0,242000,245000,fixed,5890,,67
ko,0,245000,248000,fixed,6000,,68
ko,0,248000,251000,fixed,6110,,69
ko,0,251000,254000,fixed,6220,,70
ko,0,254000,257000,fixed,6320,,71
ko,0,257000,260000,fixed,6430,,72
ko,0,260000,263000,fixed,6530,,73
ko,0,263000,266000,fixed,6650,,74
ko,0,266000,269000,fixed,6750,,75
ko,0,269000,272000,fixed,6860,,76
ko,0,272000,275000,fixed,6960,,77
ko,0,275000,278000,fixed,7080,,78
ko,0,278000,281000,fixed,7180,,79
ko,0,281000,284000,fixed,7290,,80
ko,0,284000,287000,fixed,7390,,81
ko,0,287000,290000,fixed,7500,,82
ko,0,290000,293000,fixed,7610,,83
ko,0,293000,296000,fixed,7720,,84
ko,0,296000,299000,fixed,7820,,85
ko,0,299000,302000,fixed,7930,,86
ko,0,302000,305000,fixed,8060,,87
ko,0,305000,308000,fixed,8180,,88
ko,0,308000,311000,fixed,8300,,89
ko,0,311000,314000,fixed,8550,,90
ko,0,314000,317000,fixed,8790,,91
ko,0,317000,320000,fixed,9040,,92
ko,0,320000,323000,fixed,9280,,93
ko,0,323000,326000,fixed,9530,,94
ko,0,326000,329000,fixed,9770,,95
ko,0,329000,332000,fixed,10020,,96
ko,0,332000,335000,fixed,10260,,97
